0;Mulmulay et Shah ont donné des [bornes] inférieures de complexité pour le problème du plus court chemin .;bornes
0;Elle n' est [pas] autorisée par le code de la route français et « donne lieu de plein droit à la réduction de trois points du permis de conduire » .;pas
1;Plusieurs [circuits] pédestres ( GR 360 et GR 655 ) et sentiers pour VTT sillonnent le territoire communal , notamment la forêt de Pons .;circuits
0;Il découvre des régions riches en hématite grise — un oxyde de fer qui se forme en présence d' eau — , détecte un champ magnétique résiduel qui semble indiquer que par le passé Mars était protégé des rayons stérilisants venus de l' espace par une [barrière] magnétique , et enfin trouve plusieurs manifestations d' une atmosphère dynamique comme la présence de ravines , absentes des photos prises par les missions précédentes , et qui auraient pu être formées par l' action de l' eau .;barrière
0;De même , la complexité des sélecteurs avancés est difficilement conciliable avec la gestion de la [cascade] l' absence d' intérêt de la part des fabricants de navigateurs pour des fonctionnalités qui ne répondaient pas nécessairement à leurs objectifs stratégiques ou commerciaux  l' interruption du développement d' Internet Explorer , navigateur dominant du marché , de 2001 à 2006.;cascade
0;1871 : ouverture du Rigi Bahnen ( tronçon Vitznau - Rigi Staffel , Suisse ) , premier [chemin] de fer à crémaillère d' Europe , conçu par l' ingénieur Niklaus Riggenbach .;chemin
1;(D/A) Du fond du  parking,  grimper en empruntant une [sente] qui démarre derrière un poste de transformation EDF.;sente
1;A ce point, laisser le [sentier] qui part sur la droite et bien suivre le balisage du GR Rouge et Blanc qui part à gauche à travers les rochers.;sentier
1;(D/A) Prendre vers le Sud en suivant le GRP du Tour du Dévoluy qui part juste en dessous du [parking] (marques Rouges et Jaunes sur le poteau d'un lampadaire).;parking
1;(1) Arriver au carrefour complexe, situé en dessous du gué, prendre le  chemin du milieu de la [patte d'oie].;patte d'oie
0;En effet , se référant à une loi du 11 juin 1804 ordonnant la translation des [cimetières] hors de l’enceinte des communes , monsieur Méalin , alors propriétaire du château d’Osmoy , propose en 1818 de fournir gratuitement un terrain nécessaire à l’établissement d’un nouveau cimetière , en échange du terrain du cimetière désaffecté .;cimetières
1;En laissant les Fermes à main gauche, poursuivre sur le  sentier vers une première balise puis le sentier devient moins marqué mais on aperçoit un peu plus haut une deuxième [balise] (5) que l'on rejoint à vue.;balise
0;(4) Depuis ce point il est possible de suivre intégralement l'itinéraire de [montée] pour la descente.;montée
0;« et suivantes » Stat crux dum volvitur orbis « La [croix] demeure tandis que la terre tourne .;croix
1;Suivre à droite cette deuxième possibilité jusqu'à rencontrer dans un petit creux du [chemin] une nouvelle intersection (2).;chemin
1;(5) Poursuivre encore sur le [chemin] de droite, le conserver une cinquantaine de mètres plus loin.;chemin
0;La cathédrale Saint-Paul ainsi que la cathédrale de Southwark sont à la tête de l' [église] anglicane tandis que les cérémonies officielles et royales se déroulent soit à Saint-Paul soit à l' abbaye de Westminster ( à ne pas confondre avec la cathédrale de Westminster qui est un édifice relativement récent ainsi que la plus grande cathédrale romaine catholique d' Angleterre et du pays de Galles ) .;église
0;  En France, les [cabanes] anciennes sont des cabanes à usage d' habitation temporaire ou saisonnière.;cabanes
0;(5) prendre à gauche de la cabane et commencer la [montée] vers le sommet.;montée
0;Il s' inspire des deux [arches] jaunes de la façade du tout premier restaurant McDonald's réalisé par l' architecte Stanley Meston à Phoenix .;arches
0;  Définition : La [cabane] se distingue , par un certain nombre de caractéristiques , de la maison , qui est un habitat familial fournissant une adresse .;cabane
0;Les parties restées à ciel ouvert du canal Saint-Martin ne seront [pas] recouvertes .;pas
1;Cheminer sur un [sentier] en courbe de niveau, rendu parfois glissant en raison de l'humidité mais aménagé de mains courantes aux endroits les plus exposés et passer sur une passerelle pour enjamber un ruisseau qui tombe en cascade.;sentier
0;Il est le premier à présenter le dessin des [arches] dorées ( formées par la lettre « M » )  plus tard celui d’origine fut reconstruit dans ce style .;arches
0;Un programmeur néerlandais , Jori Koolstra , propose en 2002 la notion de feuilles de style dynamiques en [cascade] .;cascade
0;Il se place derrière la ligne de défense , généralement de trois puis quatre joueurs , et a pour tâche de colmater les [brèches] .;brèches
0;La ville prospère et s' agrandit malgré le Grand incendie de Toulouse du 7 mai 1463 qui détruit les trois quarts de la cité et ruine plusieurs [églises] , couvents et autres édifices publics .;églises
1;(2) Retrouvez le [sentier de montée] au niveau du refuge.;sentier de montée
0;Le [déversoir] en amont , sert à réguler le débit arrivant au lavoir .;déversoir
0;En France , des opérations « Nez de Cléopâtre » demandant à des citoyens de noter leurs sensations olfactives à la fenêtre ou au [balcon] une fois par jour , ont permis de mieux suivre le trajet de certaines pollutions dans des villes industrielles ( par exemple Calais ) , en cartographiant ces données , croisées avec celles de la météo .;balcon
1;À la côte 1630 (panneau) le [sentier] tourne à gauche et quitte l’itinéraire qui va au Coiro.;sentier
1;(2) Au carrefour nommé Vira Gros Jean ([poteau] indicateur à main droite), virer à gauche, le chemin grimpe tranquillement.;poteau
0;Ses voies de bus sont accessibles aux vélos et les [carrefours] à feux sont progressivement équipés de cédez-le-passage pour les cyclistes .;carrefours
1;(2) Arrivé au niveau d'un lavoir, suivre la route à gauche qui descend et continuer sur cette route en ignorant un [chemin] qui part à droite.;chemin
0;Pendant 5 jours , l' Arena devient « verte » ( couleur du spectacle ) : [bâtiment] illuminé en vert , site les réseaux sociaux seront également entièrement refondus aux couleurs du spectacle : Les « circassiens » publieront des vidéos et photos des coulisses et expliqueront le fonctionnement d' une telle production .;bâtiment
1;"Rester [rive] droite du lac et suivre le sentier sur 200m environ et trouver la sente (GR549) (5)qui monte raide dans le mouvement de terrain à gauche en direction du ""Lac du Loup"" alt 2258m (6)puis ""Col du Loup"" point culminant de cette randonnée(7).";rive
0;Le terme [borne] incendie correspond à l' anglais Fire hydrant .;borne
0;De nombreuses [cascades] se déroulent dans la neige , à Val-d'Isère et à Tignes .;cascades
1;(d/a) depuis l’[office de tourisme] , prendre en face sur la piste et passer sous le téléski. ;office de tourisme
1;A l'[embranchement] suivant, prendre de nouveau le chemin  de droite, toujours en direction du belvédère.;embranchement
1;(7) Rester sur la [rive] gauche, en descente toujours, dans un sentier devenu plus terreux, atteindre la passerelle sur la Séveraisse.;rive
1;(D/A) Prendre vers le Sud en suivant le GRP du Tour du Dévoluy qui part juste en dessous du parking (marques Rouges et Jaunes sur le [poteau d'un lampadaire]).;poteau d'un lampadaire
0;Ancienne [gare de bifurcation] , elle est également l' origine de la ligne de Gisors-Embranchement à Pont-de-l'Arche ( partiellement déclassée ) , avant l' ancienne gare de Gisors-Boisgeloup ( dite aussi Gisors-Ville ) et l' aboutissement au PK 34 , 1 de la ligne de Beauvais à Gisors-Embranchement ( déclassée ) , après l' ancienne gare de Trie-Château .;gare de bifurcation
1;(7) Rester sur la rive gauche, en [descente] toujours, dans un sentier devenu plus terreux, atteindre la passerelle sur la Séveraisse.;descente
1;e augmente principalement grâce à un solde migratoire largement positif , dû à son positionnement géographique privilégié lui conférant un climat agréable , une situation stratégique entre plusieurs [bassins] touristiques ( Massif central , Pyrénées , mer Méditerranée , côtes atlantiques basque et landaise ) et ses terroirs midi-pyrénéens , mais aussi grâce à une image positive sur sa qualité de v;bassins
1;(4) du [col], prendre la sente à gauche indiquée par un panneau le vieux chaillol.;col
0;Main basse sur la Joconde : spectacle de [cascades] .;cascades
0;Comme son nom l' indique , les passagers sont assis , avec une [barre] latérale commune de sécurité au-dessus des jambes reliée à une ou deux barres permettant de poser les pieds ou skis .;barre
1;(1) prendre à droite sur la [piste] qui ramène à la station de chaillol et au parking(d/a).points de passage : d/a : km 0 - alt.;piste
0;En suivant la route on va passer à Cor de Chasse (11) puis à Marie Bey (12) et ainsi de suite en restant attentif au balisage on revient à Saint Andre.Points de [passage] : D/A : km 0 - alt.;passage
1;Continuer sur le [sentier] en suivant le balisage Jaune jusqu'au Lac Achard (3) que l'on contourne de préférence par la gauche.;sentier
0;On peut diviser les [brèches] sédimentaires en trois groupes en fonction de la nature des éléments et du ciment : ;brèches
1;Rejoindre une petite [route] bordée de maison construites en pleine pente sur des pilotis.;route
0;D' autres [chapelles] existent dans les sections communales .;chapelles
1;Partir à gauche sur 30m et trouver un [sentier] (2) qui part à droite.;sentier
1;Rester sur celui de droite pour rejoindre le [carrefour] initial.;carrefour
1;(5) Avant d'atteindre le  stade de biathlon, prendre à gauche, descendre en [sous-bois] et arriver devant la prairie, longer la lisière pour rejoindre le parking de départ (D/A).Points de passage : D/A : km 0 - alt.;sous-bois
1;(1) prendre à droite sur la piste qui ramène à la station de chaillol et au [parking] (d/a).points de passage : d/a : km 0 - alt.;parking
1;"Descendre à gauche sur 50m puis prendre un [chemin] qui part sur la droite et monte légèrement dans le bois en longeant plus ou moins près une clôture et rejoint une piste qui mène au ""Parc Aventure"".";chemin
0;L’église d’Osmoy est vendue le 20 juillet 1805 , à l’exception du [cimetière] , et fut très certainement démolie peu après .;cimetière
0;Les poutres en treillis , constituées de [barres] métalliques horizontales , verticales ou obliques , appelées membrures , étaient très utilisées au XIXe siècle ou pour les ponts-rails .;barres
0;Une station fixe est en général un petit bâtiment en dur ( type [chalet] ou cabine métallique ) situé en un endroit judicieux , selon sa finalité et son type , station de proximité ou station de fond , muni à son sommet de dispositifs de prélèvement de l' air ambiant , et à l' intérieur , d' analyseurs spécifiques des polluants principaux , tels que PM10 , dioxyde de soufre SO2 , monoxyde d' azote NO , dioxyde d' azote NO2 , ozone O3 , monoxyde de carbone CO et BTX ( benzène , toluène et xylène ) .;chalet
1;Longer la  route  toujours dans la même direction jusqu'à une [intersection de chemins] avec présence de panneaux de randonnée.;intersection de chemins
0;Tandis que les poudingues agglomèrent des éléments arrondis ( galets ) qui traduisent un transport long avant sédimentation , les [brèches] contiennent des éléments anguleux ( temps de transport court ) .;brèches
1;(5) de la cabane, partir à gauche sur le [sentier] à flanc de montagne qui passe par les vestiges du canal et emmène jusqu'au lac de mal cros.;sentier
1;(D) Partir par la petite route qui démarre en face de la sortie du [parking] en direction de Côte Raget.;parking
1;Quelques mètres plus haut, au second [embranchement],  suivre le chemin de droite puis continuer l'ascension sur environ 200m.;embranchement
1;(5) Avant d'atteindre le stade de biathlon, prendre à gauche, descendre en sous-bois et arriver devant la prairie, longer la lisière pour rejoindre le [parking] de départ (D/A).Points de passage : D/A : km 0 - alt.;parking
1;Traverser la [route] pour rejoindre le foyer de fond et le parking de départ. Points de passage : D/A : km 0 - alt.;route
0;Au milieu de la salle de prière , un cours d' eau artificiel a été réalisé grâce à un [circuit] d' eau fermé avec trois ouvertures dans le sol donnant sur la salle des ablutions qui se trouve au sous-sol .;circuit
0;Dans le nord de la France , le mot sente ou « piésente » désignait aussi les petits [chemins] ( sentiers pour piétons ) .;chemins
0;Dans le cas d' un [déversoir] vanné , c' est la loi de fonctionnement de la vanne qui régira le fonctionnement du déversoir.;déversoir
1;Suivre ce [sentier] sur 500m jusqu'à trouver une autre piste qui arrive des Quatre Chemins.;sentier
1;Retour: Traverser le [torrent] au niveau de refuge et redescendre rive droite, en traversant quelques bois, jusqu'au parking.;torrent
0;Autrefois , la [cabane] servait généralement d' habitation temporaire ou saisonnière;cabane
0;L' algorithme de Floyd-Warshall donne la matrice des longueurs des plus courts chemins en temps O ( n 3 ) { \displaystyle O ( n^ { 3 } ) } pour un graphe à n { \displaystyle n } sommets , mais le graphe ne doit pas posséder de [circuit] de poids strictement négatif .;circuit
0;Cabanes de nomades : beaucoup de nomades fabriquent et utilisent des [cabanes] par nécessité .;cabanes
0;La date de construction de l' immeuble , 1881 , est gravée en dessous du [balcon] entrelacée par des initiales , que l' on peut supposer être celles de l' architecte .;balcon
1;(D) Le départ de la randonnée se fait par le [chemin] carrossable non goudronné qui mène à un snack-bar (1) au milieu des pistes (ou couper à travers les pistes de ski).;chemin
0;Dans un pont en arc , la rivière ou la brèche est franchie en une seule fois par une seule [arche] alors que dans le pont à voûtes , le tablier repose sur des piles intermédiaires .;arche
1;Un jour , il reçoit une mystérieuse invitation le conviant à un week-end sur les lieux du crime , une [cabane] abandonnée où sa fille a été retrouvée assassinée .;cabane
1;Cependant ce [passage] est court et se franchit aisément.;passage
1;(7) Entrer dans cette combe, le chemin devient un peu délicat car il est dégradé et il traverse des [pentes] raides.;pentes
1;Continuer sur le même [chemin],  laisser partir le chemin à droite et poursuivre sur le chemin.;chemin
0;Des bornes d' appel d' urgence ( BAU ) au nombre de 166 sont implantées régulièrement à raison d' une [borne] tous les 500 mètres ( tous les 250 mètres dans les souterrains )  elles donnent lieu à 7 000 appels par an .;borne
1;(13) Passer alors rive gauche et reprendre un [sentier] plus en courbe de niveau, qui oscille entre pierriers, bois et prés, passer en face du Hameau du Casset.;sentier
0;Ces ouvrages se composent d' [arches] souvent très inégales , dont les voûtes sont en arc peu surbaissé , en plein cintre ou en ogive , cette dernière forme permettant de diminuer les poussées  ils reposent sur des piles épaisses aux extrémités très saillantes au moins en amont .;arches
1;(4) Prendre à gauche sur une centaine de mètres puis quitter la route pour emprunter un [chemin] sur la droite.;chemin
0;(3) Pour le retour, en deux lacets, accéder au col qui domine les lacs et les lacets de notre [chemin] de retour.;chemin
1;Le départ se situe sur le [parking] au Sud du foyer de ski de fond.;parking
0;En effet , les obélisques constituaient un butin très prisé , et ils furent utilisés comme éléments de décoration dans les temples , les [cirques] et les mausolées de Rome .;cirques
